kind,label,angle_deg,det_rotation,pca_sign_parity,pca_signs,pca_basis_offdiag,d2_shape,sliced_wasserstein,sliced_wasserstein_sign_spread,occupancy_dice,occupancy_resolution,scale_log_ratio
z_sweep,z_000,0.0,1.0,1,+++,2.9982915033211595e-16,0.0012572376974890748,4.548365920190323e-16,0.08091466581294968,1.0,1.9142807884020079,0.0
z_sweep,z_005,5.0,1.0,1,+++,9.257693978402868e-16,0.0012572376974890748,5.280325086681401e-16,0.08091466581294961,1.0,1.9142807884020079,0.0
z_sweep,z_010,10.0,0.9999999999999999,1,+++,9.758862157152062e-16,0.0012572376974890767,4.52326556473013e-16,0.08091466581294972,1.0,1.9142807884020079,0.0
z_sweep,z_015,15.0,0.9999999999999999,1,+++,1.3743507342957129e-15,0.0012572376974890774,2.8492255393861485e-16,0.08091466581294986,1.0,1.9142807884020079,0.0
z_sweep,z_020,20.0,1.0,-1,++-,1.7370966263085899e-15,0.0012572376974890735,4.601892475484919e-16,0.08091466581294972,1.0,1.9142807884020079,0.0
z_sweep,z_025,25.0,0.9999999999999999,-1,-++,2.1599946860158266e-15,0.0012572376974890789,0.03846190335398334,0.03911966728071888,0.6274509803921569,1.9142807884020079,0.0
z_sweep,z_030,30.0,1.0,-1,-++,7.514643928001574e-16,0.001257237697489073,0.038461903353983355,0.039119667280718855,0.6274509803921569,1.9142807884020079,0.0
z_sweep,z_035,35.0,1.0,-1,-++,8.53146084152303e-16,0.001257237697489077,0.03846190335398335,0.039119667280718876,0.6274509803921569,1.9142807884020079,0.0
z_sweep,z_040,40.0,0.9999999999999998,-1,-++,9.678014236686152e-16,0.00125723769748908,0.038461903353983355,0.03911966728071884,0.6274509803921569,1.9142807884020079,0.0
z_sweep,z_045,45.0,1.0,-1,-++,1.2735590083276525e-15,0.001257237697489076,0.038461903353983355,0.03911966728071887,0.6274509803921569,1.9142807884020079,0.0
z_sweep,z_050,50.0,1.0,-1,-++,2.236335931489148e-15,0.001257237697489075,0.03846190335398334,0.03911966728071887,0.6274509803921569,1.9142807884020079,0.0
z_sweep,z_055,55.0,1.0,-1,-++,1.7463687991050807e-15,0.001257237697489076,0.03846190335398334,0.03911966728071888,0.6274509803921569,1.9142807884020079,0.0
z_sweep,z_060,60.0,1.0,-1,-++,1.710537579800913e-15,0.0012572376974890772,0.038461903353983355,0.039119667280718855,0.6274509803921569,1.9142807884020079,0.0
z_sweep,z_065,65.0,0.9999999999999999,-1,-++,1.1908340490412448e-15,0.001257237697489077,0.03846190335398334,0.039119667280718855,0.6274509803921569,1.9142807884020079,0.0
z_sweep,z_070,70.0,0.9999999999999999,-1,-++,7.838742804572024e-16,0.0012572376974890752,0.03846190335398334,0.03911966728071887,0.6274509803921569,1.9142807884020079,0.0
z_sweep,z_075,75.0,0.9999999999999999,-1,-++,1.1050891818832839e-14,0.0012572376974890693,0.03846190335398336,0.039119667280718834,0.6274509803921569,1.9142807884020079,0.0
z_sweep,z_080,80.0,0.9999999999999999,-1,---,7.26829934091572e-16,0.0012572376974890754,0.03846190335398334,0.03911966728071888,0.6274509803921569,1.9142807884020079,0.0
z_sweep,z_085,85.0,1.0,-1,---,1.000955503303432e-15,0.0012572376974890724,0.03846190335398334,0.03911966728071888,0.6274509803921569,1.9142807884020079,0.0
z_sweep,z_090,90.0,1.0,-1,-++,1.148294781138242e-15,0.001257237697489073,0.03846190335398334,0.039119667280718855,0.6274509803921569,1.9142807884020079,0.0
z_sweep,z_095,95.0,1.0,-1,-++,5.51118335049147e-16,0.0012572376974890752,0.03846190335398334,0.03911966728071888,0.6274509803921569,1.9142807884020079,0.0
z_sweep,z_100,100.0,0.9999999999999999,-1,-++,6.89250023436733e-16,0.0012572376974890772,0.03846190335398334,0.03911966728071888,0.6274509803921569,1.9142807884020079,0.0
z_sweep,z_105,105.0,1.0000000000000002,-1,-++,5.260096298132099e-16,0.0012572376974890743,0.03846190335398335,0.039119667280718876,0.6274509803921569,1.9142807884020079,0.0
z_sweep,z_110,110.0,1.0,-1,-++,9.47306274097676e-16,0.0012572376974890752,3.5019114344447823e-16,0.08091466581294979,1.0,1.9142807884020079,0.0
z_sweep,z_115,115.0,1.0,-1,-++,6.172158912673358e-16,0.0012572376974890787,3.266808228733394e-16,0.08091466581294982,1.0,1.9142807884020079,0.0
z_sweep,z_120,120.0,1.0,-1,-++,4.334596867862062e-16,0.0012572376974890776,1.4874382424180077e-16,0.08091466581295,1.0,1.9142807884020079,0.0
z_sweep,z_125,125.0,0.9999999999999999,1,--+,1.5909317651220737e-15,0.0012572376974890778,2.4177379300717217e-16,0.0809146658129499,1.0,1.9142807884020079,0.0
z_sweep,z_130,130.0,1.0,1,--+,1.5068467023414812e-14,0.0012572376974890787,3.132489350285283e-15,0.08091466581294705,1.0,1.9142807884020079,0.0
z_sweep,z_135,135.0,1.0,1,--+,1.588400392088401e-15,0.0012572376974890765,1.9775432692929172e-16,0.08091466581294994,1.0,1.9142807884020079,0.0
z_sweep,z_140,140.0,1.0,1,--+,3.065655536618263e-15,0.0012572376974890754,2.8956302913528293e-16,0.08091466581294986,1.0,1.9142807884020079,0.0
z_sweep,z_145,145.0,1.0,1,--+,1.6888743614362806e-15,0.0012572376974890756,5.025892959549411e-16,0.08091466581294965,1.0,1.9142807884020079,0.0
z_sweep,z_150,150.0,1.0,1,--+,1.1993732236452878e-15,0.0012572376974890752,1.637911210560355e-16,0.08091466581294997,1.0,1.9142807884020079,0.0
